model,galaxy,rar_chi_square,candidate_chi_square,absolute_gain,fractional_gain
Acceleration-only adjustment,UGC06923,13.23083275909,16.96766794958,-3.7368351904900017,-0.28243386176298524
Acceleration-only adjustment,UGC06973,818.7728513374,865.9606558508,-47.18780451340001,-0.057632351190348464
Acceleration-only adjustment,UGC06983,61.52635147393,53.76442104686,7.7619304270699985,0.12615619553450835
Acceleration-only adjustment,UGC07089,120.1736610902,126.7540235608,-6.580362470599994,-0.05475711075874523
Acceleration-only adjustment,UGC07125,1852.34323972,1627.587912905,224.755326815,0.12133568012425926
Acceleration-only adjustment,UGC07151,42.38746007632,40.21225842845,2.175201647869997,0.05131710284016726
Acceleration-only adjustment,UGC07232,6.462908973989,6.498511944896,-0.03560297090700004,-0.005508815155882565
Acceleration-only adjustment,UGC07261,4.643228773483,4.313953830348,0.32927494313500016,0.07091508069028503
Acceleration-only adjustment,UGC07323,57.12254637242,69.57701813684,-12.45447176442,-0.21803075239715308
Acceleration-only adjustment,UGC07399,764.0510156882,757.9817175816,6.069298106599945,0.007943577041296352
Acceleration-only adjustment,UGC07524,164.0372340702,147.9709874721,16.06624659809998,0.09794268166716591
Acceleration-only adjustment,UGC07577,154.005565846,133.3629115004,20.642654345599993,0.13403836564090094
Acceleration-only adjustment,UGC07603,67.58823257809,88.50809772928,-20.919865151189995,-0.30951934017537197
Acceleration-only adjustment,UGC07608,10.51526931531,15.64856773786,-5.13329842255,-0.4881756490131956
Acceleration-only adjustment,UGC07866,27.60495140331,20.92940261441,6.675548788899999,0.24182432677999788
Acceleration-only adjustment,UGC08286,461.7759476979,486.129422789,-24.353475091099995,-0.052738725809583234
Acceleration-only adjustment,UGC08490,173.8998907964,200.1550866977,-26.2551959013,-0.15097879464478378
Acceleration-only adjustment,UGC08550,28.2771403765,36.95832891601,-8.681188539509996,-0.307003764310078
Acceleration-only adjustment,UGC08699,264.1922716241,174.3983938537,89.7938777704,0.3398807891631334
Acceleration-only adjustment,UGC08837,294.3739745084,278.8179636461,15.556010862300013,0.05284438234826401
Acceleration-only adjustment,UGC09037,1003.896427889,1153.060071883,-149.16364399400004,-0.14858469444667946
Acceleration-only adjustment,UGC09133,4644.758934299,3804.002133682,840.7568006170004,0.18101193463636445
Acceleration-only adjustment,UGC09992,36.57503246186,34.3598871864,2.215145275459996,0.06056441037393261
Acceleration-only adjustment,UGC10310,17.37662786557,14.15393759217,3.2226902734000014,0.18546120100698194
Acceleration-only adjustment,UGC11455,244.5471645745,283.8898536086,-39.342689034100005,-0.16087975954476652
Acceleration-only adjustment,UGC11820,1329.099413624,679.7592596668,649.3401539572,0.4885564972048789
Acceleration-only adjustment,UGC11914,4537.985830629,4197.142879264,340.84295136499986,0.07510886196790006
Acceleration-only adjustment,UGC12506,245.0788853697,226.0889250583,18.98996031140001,0.07748509335169275
