sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237662268074230287,228.216775,+05.707989,0.20741,20.51,N,0,120.739,,,,,,,,,,,,,,,,,
1237662268074230289,228.229806,+05.808591,0.21941,19.73,N,0,126.720,,,,,,,,,,,,,,,,,
1237662268074230290,228.222787,+05.725656,0.14166,18.65,N,0,90.810,,,,,,,,,,,,,,,,,
1237662268074230302,228.249266,+05.802899,0.31186,19.24,N,0,98.930,,,,,,,,,,,,,,,,,
1237662268074230303,228.245964,+05.803795,0.21962,20.33,N,0,110.730,,,,,,,,,,,,,,,,,
1237662268074230324,228.274127,+05.734405,0.26788,19.44,N,0,96.294,,,,,,,,,,,,,,,,,
1237662268074230329,228.278388,+05.768960,0.04216,19.04,N,0,42.875,,,,,,,,,,,,,,,,,
1237662268074230336,228.291799,+05.830330,0.39568,20.43,N,0,29.421,,,,,,,,,,,,,,,,,
1237662268074230339,228.283957,+05.727180,2.06704,21.45,N,0,116.512,,,,,,,,,,,,,,,,,
1237662268074230411,228.213681,+05.815502,0.31158,19.81,N,0,64.726,,,,,,,,,,,,,,,,,
1237662268074230416,228.206637,+05.726727,0.27704,20.44,N,0,147.054,,,,,,,,,,,,,,,,,
1237662268074230421,228.204783,+05.698627,0.47212,20.29,N,0,70.142,,,,,,,,,,,,,,,,,
1237662268074230429,228.219965,+05.849941,0.65704,20.94,N,0,162.034,,,,,,,,,,,,,,,,,
1237662268074230444,228.209611,+05.692199,0.47050,20.51,N,0,47.669,,,,,,,,,,,,,,,,,
1237662268074230449,228.225197,+05.852652,0.51721,20.47,N,0,178.684,,,,,,,,,,,,,,,,,
1237662268074230491,228.225925,+05.756401,0.04253,18.55,N,0,117.179,,,,,,,,,,,,,,,,,
1237662268074230498,228.229534,+05.791354,0.35261,21.14,N,0,155.316,,,,,,,,,,,,,,,,,
1237662268074230509,228.245154,+05.894250,0.32243,19.20,N,0,100.566,,,,,,,,,,,,,,,,,
1237662268074230575,228.243073,+05.712157,0.46135,20.69,N,0,32.067,,,,,,,,,,,,,,,,,
1237662268074230600,228.253113,+05.743226,0.39725,20.16,N,0,45.926,,,,,,,,,,,,,,,,,
