name,v_pec_lin_kms,kappa_los,kappa_2phase,dlnn_dlnr,in_void_VoidFinder,in_void_REVOLVER
PGC23749,-31.103481529990205,6.225888384625096e-06,8.635434321471406e-05,1.5607687690863825,0.0,0.0
PGC23904,-33.099455750463484,-4.349944663775225e-06,6.445065308104056e-05,4.3502592569476874,1.0,0.0
PGC23994,56.96289698990508,5.674604486335986e-06,7.474195011920909e-05,2.491060428979749,0.0,1.0
PGC24173,138.84091688975266,1.3073085930105968e-07,8.202519661790322e-05,-0.1182837365115845,0.0,0.0
PGC24221,-132.2265992656084,1.3282411438184105e-05,7.450573638494778e-05,6.45111840990889,0.0,1.0
PGC24330,-33.67422652828872,6.509337680246592e-06,7.336181887053948e-05,5.620536440886327,0.0,1.0
PGC24608,-63.880907232991156,1.409371043364873e-06,7.217758962811178e-05,1.9818142431672157,0.0,1.0
PGC24851,-202.0610555756304,4.65767422153242e-06,7.8761763851381e-05,3.9817261469531715,0.0,1.0
PGC24852,-102.37674819320944,-1.3208529626060732e-05,9.914000873886731e-05,4.641274292369504,0.0,0.0
PGC24873,-85.92594794897875,-1.0658390994250467e-05,7.766062552476476e-05,3.899233665201096,0.0,0.0
PGC25017,72.90332419061798,-6.629209115871585e-06,6.85348903037229e-05,-1.0492023523972742,1.0,1.0
