model_id,fold,block_id,q_over_n,mean_logpdf_per_channel
channel_constant__full_shrink_010,1,training_r08_c19,1.1035513316468852,-0.41148318102642734
channel_constant__full_shrink_010,1,training_r11_c19,1.0501746439702913,-0.38479483718813046
channel_constant__full_shrink_010,1,training_r13_c18,1.0144905466957237,-0.36695278855084673
channel_constant__full_shrink_010,1,training_r15_c17,0.9892078374164103,-0.35431143391118997
channel_constant__full_shrink_010,1,training_r17_c16,0.9857610712297242,-0.35258805081784683
channel_constant__full_shrink_010,1,training_r18_c14,0.9800032231021232,-0.34970912675404653
channel_constant__full_shrink_010,1,training_r19_c12,0.9947624135628488,-0.35708872198440916
channel_constant__full_shrink_010,2,training_r02_c12,1.0397217905856404,-0.38036241104502744
channel_constant__full_shrink_010,2,training_r08_c18,0.9733894998509237,-0.34719626567766937
channel_constant__full_shrink_010,2,training_r09_c19,1.0141638654189953,-0.36758344846170515
channel_constant__full_shrink_010,2,training_r12_c19,1.015944750777552,-0.36847389114098356
channel_constant__full_shrink_010,2,training_r14_c18,0.9641870749423262,-0.34259505322337047
channel_constant__full_shrink_010,2,training_r16_c17,1.0211621679927507,-0.3710825997485828
channel_constant__full_shrink_010,2,training_r17_c15,1.0434987335261243,-0.3822508825152696
channel_constant__full_shrink_010,2,training_r18_c13,1.01637779130965,-0.36869041140703224
channel_constant__full_shrink_050,0,training_r02_c14,1.0020246448273482,-0.3870031277749733
channel_constant__full_shrink_050,0,training_r03_c15,0.9571249901972203,-0.3645533004599094
channel_constant__full_shrink_050,0,training_r04_c16,0.9763867116234722,-0.3741841611730353
channel_constant__full_shrink_050,0,training_r05_c17,0.981482881818926,-0.37673224627076224
channel_constant__full_shrink_050,0,training_r06_c18,0.9526748173660109,-0.3623282140443046
channel_constant__full_shrink_050,0,training_r09_c18,0.9484846140588252,-0.36023311239071176
channel_constant__full_shrink_050,0,training_r10_c19,0.99147043932651,-0.3817260250245543
channel_constant__full_shrink_050,0,training_r12_c18,0.9844438033862597,-0.37821270705442905
channel_constant__full_shrink_050,0,training_r16_c16,0.977329497624539,-0.37465555417356877
channel_constant__full_shrink_050,0,training_r18_c12,0.9553834296519419,-0.36368252018727026
channel_constant__full_shrink_050,1,training_r02_c13,0.9777618592934147,-0.37814126384035635
channel_constant__full_shrink_050,1,training_r03_c14,0.9406350291373281,-0.35957784876231313
channel_constant__full_shrink_050,1,training_r06_c17,0.9743525295952642,-0.3764365989912812
channel_constant__full_shrink_050,1,training_r07_c18,0.9533792275846655,-0.3659499479859818
channel_constant__full_shrink_050,1,training_r08_c19,1.037562097370529,-0.4080413828789136
channel_constant__full_shrink_050,1,training_r11_c19,0.993520941266719,-0.3860208048270085
channel_constant__full_shrink_050,1,training_r13_c18,0.9620695422961726,-0.3702951053417353
channel_constant__full_shrink_050,1,training_r15_c17,0.9332148067667861,-0.3558677375770421
channel_constant__full_shrink_050,1,training_r17_c16,0.928365883709001,-0.3534432760481494
channel_constant__full_shrink_050,1,training_r18_c14,0.9236503169584912,-0.3510854926728946
channel_constant__full_shrink_050,1,training_r19_c12,0.9402061727770947,-0.3593634205821963
channel_constant__full_shrink_050,2,training_r02_c12,0.9893335551098346,-0.38312265213628666
channel_constant__full_shrink_050,2,training_r08_c18,0.923102058671495,-0.35000690391711686
channel_constant__full_shrink_050,2,training_r09_c19,0.9671652116195736,-0.37203848039115617
channel_constant__full_shrink_050,2,training_r12_c19,0.9642049306378084,-0.3705583399002737
channel_constant__full_shrink_050,2,training_r14_c18,0.9172647475007242,-0.3470882483317314
channel_constant__full_shrink_050,2,training_r16_c17,0.9732667177764276,-0.37508923346958334
channel_constant__full_shrink_050,2,training_r17_c15,0.993748090768994,-0.3853299199658664
channel_constant__full_shrink_050,2,training_r18_c13,0.9629850842045696,-0.36994841668365436
channel_constant__bartlett3_shrink_010,0,training_r02_c14,1.0018220594851026,-0.3879829386467595
channel_constant__bartlett3_shrink_010,0,training_r03_c15,0.9895619479993272,-0.3818528829038717
channel_constant__bartlett3_shrink_010,0,training_r04_c16,0.9838823604029397,-0.379013089105678
channel_constant__bartlett3_shrink_010,0,training_r05_c17,0.9968518192666678,-0.385497818537542
channel_constant__bartlett3_shrink_010,0,training_r06_c18,0.9578883105445699,-0.36601606417649307
channel_constant__bartlett3_shrink_010,0,training_r09_c18,0.9771261687678349,-0.3756349932881256
channel_constant__bartlett3_shrink_010,0,training_r10_c19,1.0037532041732542,-0.38894851099083527
channel_constant__bartlett3_shrink_010,0,training_r12_c18,1.0118242975061869,-0.39298405765730154
channel_constant__bartlett3_shrink_010,0,training_r16_c16,0.9987501160752149,-0.3864469669418156
channel_constant__bartlett3_shrink_010,0,training_r18_c12,0.9704252914227977,-0.37228455461560694
channel_constant__bartlett3_shrink_010,1,training_r02_c13,1.00138220066566,-0.3917639635671464
channel_constant__bartlett3_shrink_010,1,training_r03_c14,0.9461452532202999,-0.3641454898444662
channel_constant__bartlett3_shrink_010,1,training_r06_c17,0.9794687721827567,-0.38080724932569476
channel_constant__bartlett3_shrink_010,1,training_r07_c18,0.9663360202537913,-0.37424087336121203
channel_constant__bartlett3_shrink_010,1,training_r08_c19,1.0462150173382283,-0.41418037190343043
