case,kind,time,energy,oscillator_energy,mean_radius,mean_inward_acceleration
nested_counter,memory_fast,23.1,-0.7570450908439762,0.0001122435805416619,1.4943366654078654,6.269216818350741
nested_counter,memory_fast,23.200000000000003,-0.7570450908586146,7.922594784930401e-05,1.4932813292541394,6.27271409879423
nested_counter,memory_fast,23.3,-0.7570450908575708,6.668924849864661e-05,1.492209568757787,6.272584148227045
nested_counter,memory_fast,23.400000000000002,-0.757045090857671,6.385301814818704e-05,1.4910526833313127,6.273141532007486
nested_counter,memory_fast,23.5,-0.757045090857569,5.9878092202959336e-05,1.4897964560616916,6.275569514217026
nested_counter,memory_fast,23.6,-0.757045090858643,6.707751762402511e-05,1.4884777825215134,6.27829547768285
nested_counter,memory_fast,23.700000000000003,-0.757045090841175,9.210937867771369e-05,1.4871934219400924,6.276754921596738
nested_counter,memory_fast,23.8,-0.7570450908476902,9.378939717746636e-05,1.4860772304547543,6.275307567342657
nested_counter,memory_fast,23.900000000000002,-0.7570450908607014,6.340461954337246e-05,1.4851274812320967,6.275200242700162
nested_counter,memory_fast,24.0,-0.7570450908572277,4.203098109806826e-05,1.4841965986889707,6.271850456600522
nested_counter,memory_fast,24.1,-0.7570450908573912,3.2706109224675076e-05,1.483175567124924,6.2706487833287285
nested_counter,memory_fast,24.200000000000003,-0.7570450908573518,2.2726251072998017e-05,1.4820270727581177,6.273841101503303
nested_counter,memory_fast,24.3,-0.7570450908573667,1.792733554580567e-05,1.48077849666153,6.280528709820552
nested_counter,memory_fast,24.400000000000002,-0.7570450908578407,3.3694992583996664e-05,1.4795275643314443,6.286159160274707
nested_counter,memory_fast,24.5,-0.7570450908959352,4.458857120099156e-05,1.478441572850719,6.2898672453520135
nested_counter,memory_fast,24.6,-0.7570450908618858,2.3540828109394915e-05,1.4776182512809735,6.2978055603192935
nested_counter,memory_fast,24.700000000000003,-0.7570450908576974,5.705779398897375e-06,1.4769656016290769,6.301276676607955
nested_counter,memory_fast,24.8,-0.7570450908578176,5.086096882998288e-06,1.4763870426882169,6.304162228136593
nested_counter,memory_fast,24.900000000000002,-0.7570450908578379,1.1026365479453055e-05,1.4758541984018771,6.309227021194965
nested_counter,memory_fast,25.0,-0.7570450908576526,2.7689656984770025e-05,1.4753950894855583,6.316001097510884
nested_counter,memory_fast,25.1,-0.7570450908625369,6.638176296903627e-05,1.475092019659324,6.320687605430066
nested_counter,memory_fast,25.200000000000003,-0.7570450908765164,9.704640445323694e-05,1.475088234330365,6.319164463407961
nested_counter,memory_fast,25.3,-0.757045090850481,7.592801397344508e-05,1.4754990544991617,6.319724292929685
nested_counter,memory_fast,25.400000000000002,-0.7570450908578241,4.369456898789683e-05,1.4762331365132555,6.314997699591687
nested_counter,memory_fast,25.5,-0.7570450908574452,3.678805475040424e-05,1.4771331945441264,6.307066565937197
nested_counter,memory_fast,25.6,-0.7570450908575246,4.327784570481389e-05,1.4780998949700115,6.300426956705279
nested_counter,memory_fast,25.700000000000003,-0.7570450908573737,5.917722603228573e-05,1.4790903251774483,6.2961657991034965
nested_counter,memory_fast,25.8,-0.7570450908599481,9.688200976547277e-05,1.480116326397684,6.292375834554761
