fixture_id,case_id,closure_id,member_id,delta_log_frequency_unit_probe,expansion_time_stretch
F07_ROUND_TRIP,return,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,-4.360343770851e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,-2.662481330843e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,-4.360343770851e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,-2.662481330843e-01,1.000000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C00_GR_ENDPOINT,BASE,0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C01_EXACT_GRADIENT_PATH,BASE,-0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C02_POTENTIAL_COLUMN,BASE,-0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C03_TIDAL_CURVATURE_COLUMN,BASE,-0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C05_ENDPOINT_MEMORY,TAU_FAST,0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C06_PATH_MEMORY_OPACITY,TAU_FAST,-0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,0.000000000000e+00,1.500000000000e+00
F08_EXPANSION_TIME_DILATION,z_0p5,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,0.000000000000e+00,1.500000000000e+00
