plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
8938-12703	124.3756	0.865977	-126.1477	172.5542
8938-6103	280.501	1.002654	-54.90399	89.96756
8938-9102	190.2188	0.9192318	-81.22414	136.6565
8939-12702	201.2119	0.8909237	-54.33176	257.221
8939-9101	211.6379	0.9771724	-102.3	88.88033
8941-1902	209.3248	1.44889	-161.7691	114.6365
8943-12705	278.5984	0.9264464	-42.77605	48.10483
8943-6101	240.5158	0.977904	-104.7063	92.13087
8943-9102	175.5186	0.9315326	-186.4018	227.897
8944-12704	112.3903	0.8761131	-157.3226	162.1501
8944-12705	87.00212	0.8780872	-158.8558	141.9746
8944-3701	63.79731	0.8447565	-86.84805	65.93009
8944-3702	235.1727	0.9879431	-29.54952	68.03333
8947-6101	230.6053	0.9592173	-19.06878	45.78094
8951-12705	50.50866	0.8788376	-56.5545	49.32204
