key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method,table,confirmed_star_cluster
vvv_cl143,266.15,-33.738,VVV-CL143,mw,0,,,,,,,,,,,,,14.74,0.05,0.05,Garro2022A&A...658A.120G,8.84,,,Garro2022A&A...658A.120G,86.0,26.0,26.0,,,,,Borissova2014A&A...569A..24B,-3.18,0.91,0.91,-6.17,0.85,0.85,Garro2022A&A...658A.120G,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,3.0,Garro2022A&A...658A.120G,-0.6,0.2,0.2,Garro2022A&A...658A.120G,,,,,,,,,,,,,,-5.9,,,4.59,8.87,0.0,0.0,355.7883422,-2.3187277,-6.95,-0.96,5.44,1.03,780.93,392.81,1.03,,,-0.6,0.2,0.2,isochrone,80.52,47.35,,,,,,,,,,,,,gc_mw_new,0
vvv_cl160,271.738,-20.015,VVV CL160,mw,1,,2.2,,,,,,,,,,Minniti2021A&A...650L..11M,13.01,0.1,0.1,Minniti2021A&A...650L..11M,8.19,0.5,0.5,Baumgardt2020PASA...37...46B,245.3,0.81,0.81,,,,,Garro2023A&A...669A.136G,-2.3,0.1,0.1,-16.8,0.1,0.1,Minniti2021A&A...650L..11M,,,,,,,,,0.38,,,50.0,,,Minniti2021A&A...650L..11M,,,,,,,,12.0,,,Minniti2021A&A...650L..11M,-1.4,0.2,0.2,Minniti2021A&A...650L..11M,,,,,,,,,,,,,,-4.82,0.5,0.5,4.16,4.0,0.0,0.0,10.1477771,0.2998576,-2.42,-0.33,3.17,4.24,777.6,389.46,4.24,,,-1.4,0.2,0.2,isochrone,301.31,284.41,,,,,2.56,,,2.56,,,20.79,,gc_mw_new,1
ymca_1,110.8378,-64.8319,YMCA-1,mw,1,,0.2168,0.031,0.031,,,,,,,,Gatto2022ApJ...929L..21G,18.72,0.17,0.15,Gatto2022ApJ...929L..21G,18.25,0.57,0.57,Gatto2022ApJ...929L..21G,361.8,1.6,1.7,,,,,Cerny2026arXiv260217652C,0.88,0.15,0.15,1.19,0.16,0.16,Cerny2026arXiv260217652C,-1.93,0.22,0.19,,,,0.83,,,,,,,,,,,,,,,,11.7,1.3,1.7,Gatto2022ApJ...929L..21G,-1.12,0.13,0.21,Gatto2022ApJ...929L..21G,,,,,,,,,,,,,,-0.47,0.57,0.57,2.42,55.46,0.0,0.0,276.094777,-21.1100651,-38.89,-16.1,-36.12,55.25,813.56,426.41,55.25,,,-1.93,0.22,0.19,spectroscopic,132.45,76.09,,,,,3.49,0.49,0.5,3.49,0.49,0.5,25.81,,gc_mw_new,1
alice_1,220.774,-28.028,Alice,mw,0,0,0.45,,,,,,,,,,Popova2025Ap.....68..327P,19.35,0.32,0.28,Popova2025Ap.....68..327P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.13,0.0,0.0,331.0338894,28.6809917,-63.19,33.67,19.19,68.1,842.49,454.95,68.1,,,,,,,,,,,,,9.7,,,9.7,,,,cmd,gc_ambiguous,0
balbinot_1,332.6791,14.9403,Balbinot 1,mw,1,,0.6,0.11,0.16,,,,,,,,Balbinot2013ApJ...767..101B,17.52,0.11,0.07,Balbinot2013ApJ...767..101B,16.31,0.66,0.66,Balbinot2013ApJ...767..101B,-175.9,1.5,1.3,3.7,1.1,1.5,,Cerny2026arXiv260217652C,1.48,0.12,0.12,-1.29,0.13,0.13,Cerny2026arXiv260217652C,-2.59,0.23,0.21,0.41,0.18,0.27,,Cerny2026arXiv260217652C,0.22,0.06,0.1,7.85,3.4,4.15,Balbinot2013ApJ...767..101B,0.84,0.11,0.11,1.48,0.23,0.23,Munoz2018ApJ...860...66M,11.7,0.8,1.4,Balbinot2013ApJ...767..101B,-1.58,0.13,0.08,Balbinot2013ApJ...767..101B,,,,,,,,,,,,,,-1.21,0.66,0.66,2.72,31.92,0.0,0.0,75.1723139,-32.6442649,12.53,-19.73,21.73,31.19,752.86,365.04,31.19,,,-2.59,0.23,0.21,spectroscopic,22.6,88.68,4.84,0.4,0.28,,5.54,1.23,1.25,5.54,1.23,1.25,26.08,,gc_ambiguous,0
delve_1,247.725,-0.972,DELVE 1,mw,1,,0.97,0.19,0.27,21.0,30.0,26.0,0.2,0.2,0.1,,Mau2020ApJ...890..136M,16.68,0.12,0.12,Simon2024ApJ...976..256S,16.19,0.6,0.8,Mau2020ApJ...890..136M,-402.7,0.6,0.6,,,,3.2,Simon2024ApJ...976..256S,0.02,0.07,0.07,-1.54,0.05,0.05,Cerny2026arXiv260217652C,-2.58,0.12,0.12,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,12.5,0.7,1.0,Mau2020ApJ...890..136M,-1.5,,,Mau2020ApJ...890..136M,,,,,,,,,,,,,,-0.49,0.6,0.8,2.43,21.68,0.0,0.0,14.187556,30.290003,-10.24,9.14,16.77,15.53,785.6,397.69,15.53,,,-2.58,0.12,0.12,spectroscopic,-336.0,-361.01,,,,4.72,6.09,1.43,1.44,5.31,1.32,1.35,26.71,,gc_ambiguous,0
delve_2,28.772,-68.253,DELVE 2,mw,1,,1.04,0.15,0.19,74.0,40.0,84.0,0.03,0.03,0.15,,Cerny2021ApJ...910...18C,19.26,0.1,0.1,Cerny2021ApJ...910...18C,17.16,0.5,0.4,Cerny2021ApJ...910...18C,,,,,,,,,0.92,0.11,0.12,-0.97,0.08,0.09,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,,,,Cerny2021ApJ...910...18C,-2.0,0.5,0.2,Cerny2021ApJ...910...18C,,,,,,,,,,,,,,-2.1,0.5,0.4,3.07,71.12,0.0,0.0,294.2362068,-47.7862941,-43.94,-50.29,-24.46,69.32,803.76,418.19,69.32,,,-2.0,0.5,0.2,isochrone,,,,,,,21.44,3.47,3.5,20.45,3.36,3.5,28.02,,gc_ambiguous,0
delve_3,290.396,-60.784,DELVE 3,mw,1,,0.4,0.08,0.12,87.0,35.0,30.0,,,,0.4,Cerny2023ApJ...953....1C,18.73,0.23,0.09,Cerny2023ApJ...953....1C,17.43,0.6,0.4,Cerny2023ApJ...953....1C,-84.8,2.8,3.0,,,,8.7,Cerny2026arXiv260217652C,-0.31,0.27,0.27,-0.81,0.28,0.28,Cerny2026arXiv260217652C,-2.98,0.29,0.29,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,0.6,0.4,2.75,55.72,0.0,0.0,335.8458284,-27.0618531,-47.06,-26.93,12.84,49.35,806.29,419.46,49.35,,,-2.98,0.29,0.29,spectroscopic,-167.35,-202.89,,,,5.66,6.45,1.6,1.61,6.45,1.6,1.61,26.32,,gc_ambiguous,0
delve_4,230.775,27.395,DELVE 4,mw,1,,0.49,0.12,0.16,152.0,17.0,14.0,0.4,0.2,0.2,,Cerny2023ApJ...953....1C,18.28,0.19,0.19,Cerny2023ApJ...953....1C,18.08,0.8,0.5,Cerny2023ApJ...953....1C,-167.7,1.4,1.4,2.5,1.3,2.0,,Cerny2026arXiv260217652C,0.42,0.08,0.08,-0.75,0.11,0.1,Cerny2026arXiv260217652C,-2.17,0.27,0.27,0.62,0.19,0.22,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,13.5,,,Cerny2023ApJ...953....1C,-1.9,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,-0.2,0.8,0.5,2.31,45.29,0.0,0.0,42.3105201,56.4284503,-2.21,34.76,28.95,42.62,786.87,399.94,42.62,,,-2.17,0.27,0.27,spectroscopic,-64.52,-75.63,4.41,0.83,0.48,,6.42,1.82,1.83,4.79,1.56,1.7,26.77,,gc_ambiguous,0
delve_5,222.104,17.468,DELVE 5,mw,1,,0.68,0.17,0.24,77.0,11.0,10.0,0.6,0.2,0.1,,Cerny2023ApJ...953....1C,17.97,0.17,0.17,Cerny2023ApJ...953....1C,18.37,0.9,0.4,Cerny2023ApJ...953....1C,-233.5,6.2,6.3,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,Cerny2023ApJ...953....1C,-2.2,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,0.4,0.9,0.4,2.07,39.26,0.0,0.0,19.3751611,61.3560783,-8.83,32.42,20.31,36.32,793.3,405.93,36.32,,,-2.2,,,isochrone,-181.78,-210.24,,,,,7.72,2.3,2.33,4.71,1.66,1.84,27.33,,gc_ambiguous,0
delve_6,33.07,-66.056,DELVE 6,mw,1,,0.43,0.12,0.18,14.0,63.0,40.0,,,,0.56,Cerny2023ApJ...953L..21C,19.51,0.16,0.11,Cerny2023ApJ...953L..21C,18.01,0.6,0.4,Cerny2023ApJ...953L..21C,171.4,6.2,6.6,,,,,Cerny2026arXiv260217652C,0.92,0.39,0.39,-1.28,0.38,0.38,Cerny2026arXiv260217652C,-1.49,0.51,0.51,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,0.6,0.4,2.83,79.8,0.0,0.0,290.5701738,-49.0865687,-46.65,-57.34,-30.06,78.33,805.4,420.54,78.33,,,-1.49,0.51,0.51,spectroscopic,17.9,-8.76,,,,,9.92,3.41,3.47,9.92,3.41,3.47,27.05,,gc_ambiguous,0
delve_7,304.107,-50.33,DELVE 7,mw,1,,0.32,0.16,0.58,101.0,55.0,43.0,0.63,0.53,0.17,,Tan2026ApJ..1000...46T,18.1,0.3,0.3,Tan2026ApJ..1000...46T,19.3,2.1,0.7,Tan2026ApJ..1000...46T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,Tan2026ApJ..1000...46T,-1.4,,,Tan2026ApJ..1000...46T,,,,,,,,,,,,,,1.2,2.1,0.7,1.75,41.69,0.0,0.0,348.6833771,-33.840151,-29.58,-25.05,15.33,35.39,790.45,403.26,35.39,,,-1.4,,,isochrone,,,,,,,4.9,3.15,3.99,2.78,1.91,2.96,26.99,cmd,gc_ambiguous,
delve_8_gemini_1,118.386,15.99,DELVE 8,mw,1,0,0.37,0.06,0.07,62.0,7.0,7.0,0.6,0.1,0.1,,Overdeck2026arXiv260609975O,20.39,0.12,0.12,Overdeck2026arXiv260609975O,18.29,0.6,0.4,Overdeck2026arXiv260609975O,-82.7,3.9,3.7,,,,8.9,Overdeck2026arXiv260609975O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,0.6,0.4,3.07,119.67,0.0,0.0,205.0742558,20.7706595,42.45,53.58,-98.23,126.63,789.9,410.46,126.63,,,,,,,-188.18,-201.28,,,,5.78,12.83,2.23,2.25,8.0,1.71,1.8,25.99,cmd,gc_ambiguous,0
des_1,8.49917,-49.03861,DES 1,mw,1,,0.245,0.027,0.036,112.0,3.0,3.0,0.41,0.06,0.03,,Conn2018ApJ...852...68C,19.4,0.12,0.12,Conn2018ApJ...852...68C,17.98,0.5,0.5,Conn2018ApJ...852...68C,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.037,0.04,2.114,0.707,0.729,Conn2018ApJ...852...68C,,,,,,,,11.2,0.9,1.0,Conn2018ApJ...852...68C,-2.38,0.19,0.21,Conn2018ApJ...852...68C,,,,,,,,,,,,,,-1.42,0.5,0.5,2.8,75.86,0.0,0.0,310.5221957,-67.831802,-28.42,-69.45,-11.13,74.29,780.37,395.87,74.29,,,-2.38,0.19,0.21,isochrone,,,,,,,5.39,0.68,0.69,4.14,0.55,0.56,25.23,,gc_ambiguous,0
des_3,325.05517,-52.5418,DES 3,mw,0,,0.3,0.04,0.05,-11.59,32.18,30.83,0.18,0.12,0.14,,Luque2018MNRAS.478.2006L,19.41,0.11,0.08,Luque2018MNRAS.478.2006L,17.81,0.3,0.5,Luque2018MNRAS.478.2006L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,1.1,1.1,Luque2018MNRAS.478.2006L,-1.84,0.12,0.22,Luque2018MNRAS.478.2006L,,,,,,,,,,,,,,-1.6,0.3,0.5,2.87,76.21,0.0,0.0,343.8294753,-46.5116408,-46.95,-57.53,17.14,71.1,795.29,410.47,71.1,,,-1.84,0.12,0.22,isochrone,,,,,,,6.63,0.98,0.99,5.9,0.97,0.99,25.82,,gc_ambiguous,0
des_4,82.09501,-61.72369,OGLE-CL LMC 863,mw,0,,0.83,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.5,,,Torrealba2019MNRAS.484.2181T,16.4,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,2.67,31.62,0.0,0.0,270.8712725,-33.4387026,-18.17,-15.21,-20.94,32.55,791.52,403.85,32.55,,,,,,,,,,,,,7.63,,,7.63,,,26.88,,gc_ambiguous,0
des_5,77.50351,-62.58046,OGLE-CL LMC 874,mw,0,,0.18,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.0,,,Torrealba2019MNRAS.484.2181T,17.3,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,2.11,25.12,0.0,0.0,272.2040256,-35.469452,-14.42,-12.89,-16.02,26.16,787.85,400.01,26.16,,,,,,,,,,,,,1.32,,,1.32,,,24.47,,gc_ambiguous,0
eridanus_3,35.6952,-52.2838,Eridanus III,mw,1,,0.315,0.027,0.036,109.0,5.0,5.0,0.44,0.03,0.02,,Conn2018ApJ...852...68C,19.8,0.04,0.04,Conn2018ApJ...852...68C,17.73,0.5,0.5,Conn2018ApJ...852...68C,54.0,2.1,2.5,,,,8.7,Cerny2026arXiv260217652C,1.36,0.08,0.07,-0.64,0.08,0.08,Cerny2026arXiv260217652C,-3.32,0.21,0.21,,,,,Cerny2026arXiv260217652C,0.19,0.049,0.053,2.08,0.91,0.97,Conn2018ApJ...852...68C,0.29,0.23,0.23,1.64,0.27,0.27,Munoz2018ApJ...860...66M,12.5,0.7,0.5,Conn2018ApJ...852...68C,-2.4,0.12,0.19,Conn2018ApJ...852...68C,,,,,,-2.03,0.18,0.16,0.49,0.18,0.22,,Fu2023ApJ...958..167F,-2.07,0.5,0.5,3.06,91.2,0.0,0.0,274.954728,-59.5966188,-34.08,-74.75,-39.6,91.21,791.04,407.89,91.21,,,-3.32,0.21,0.21,spectroscopic,-75.98,-86.43,,,,5.64,8.34,0.82,0.83,6.24,0.63,0.64,25.48,,gc_ambiguous,0
gaia_03,95.05864,-73.41445,OGLE-CL LMC 845,mw,0,,0.53,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.4,,,Torrealba2019MNRAS.484.2181T,15.1,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,3.55,47.86,0.0,0.0,284.2273752,-28.1313092,-35.34,-19.89,-25.42,46.78,806.39,419.06,46.78,,,,,,,,,,,,,7.38,,,7.38,,,24.61,,gc_ambiguous,0
hsc_1,334.309,3.48,HSC 1,mw,0,,0.44,0.06,0.07,-12.0,11.0,11.0,0.46,0.1,0.08,,Homma2019PASJ...71...94H,18.3,0.2,0.2,Homma2019PASJ...71...94H,18.1,0.83,0.59,Homma2019PASJ...71...94H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,0.83,0.59,2.31,45.71,0.0,0.0,66.3191958,-41.8406993,11.06,-33.85,28.66,43.97,747.62,360.36,43.97,,,,,,,,,,,,,5.83,0.85,0.86,4.26,0.72,0.73,26.52,,gc_ambiguous,0
kim_1,332.9214,7.0271,Kim 1,mw,1,,1.2,0.1,0.1,-59.0,6.0,6.0,0.42,0.1,0.1,,Kim2015ApJ...799...73K,16.48,0.1,0.2,Kim2015ApJ...799...73K,16.78,0.5,0.5,Kim2015ApJ...799...73K,-260.8,1.1,1.2,2.6,1.2,1.5,,Cerny2026arXiv260217652C,-1.12,0.1,0.1,-0.09,0.09,0.09,Cerny2026arXiv260217652C,-2.69,0.14,0.14,,,,,Cerny2026arXiv260217652C,,,,,,,,0.93,0.22,0.22,1.24,0.55,0.55,Munoz2018ApJ...860...66M,12.0,3.0,1.5,Kim2015ApJ...799...73K,-1.7,0.2,0.5,Kim2015ApJ...799...73K,,,,,,,,,,,,,,0.3,0.5,0.5,2.11,19.77,0.0,0.0,68.5158014,-38.4241423,5.59,-13.8,13.01,19.1,763.13,375.13,19.1,,,-2.69,0.14,0.14,spectroscopic,-82.89,-22.35,4.51,0.63,0.37,,6.89,0.57,0.57,5.22,0.62,0.63,27.46,,gc_ambiguous,0
kim_2,317.202,-51.1671,Kim 2,mw,1,,0.42,0.02,0.02,35.0,5.0,5.0,0.12,0.1,0.1,,Kim2015ApJ...803...63K,20.1,0.1,0.1,Kim2015ApJ...803...63K,18.6,0.5,0.5,Kim2015ApJ...803...63K,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.02,0.02,2.101,0.02,0.02,Kim2015ApJ...803...63K,0.87,0.45,0.45,1.22,0.44,0.44,Munoz2018ApJ...860...66M,11.5,3.5,2.0,Kim2015ApJ...803...63K,-1.0,0.21,0.18,Kim2015ApJ...803...63K,,,,,,,,,,,,,,-1.5,0.5,0.5,2.83,104.71,0.0,0.0,347.1549436,-42.0693296,-67.46,-73.98,30.65,98.99,807.13,424.91,98.99,,,-1.0,0.21,0.18,isochrone,,,,,,,12.78,0.6,0.61,11.84,0.83,0.79,27.44,,gc_ambiguous,1
koposov_2,119.5705,26.2558,Koposov 2,mw,1,,0.26,0.05,0.07,14.9,64.5,43.4,0.08,0.06,0.08,,Bellazzini2026arXiv260612517B,16.85,0.06,0.06,Bellazzini2026arXiv260612517B,15.9,0.22,0.22,Bellazzini2026arXiv260612517B,109.8,1.3,1.5,2.7,1.3,1.7,,Cerny2026arXiv260217652C,-0.58,0.16,0.16,0.1,0.1,0.1,Cerny2026arXiv260217652C,-2.86,0.18,0.18,,,,,Cerny2026arXiv260217652C,0.26,0.05,0.07,1.99,0.43,1.11,Bellazzini2026arXiv260612517B,0.43,0.09,0.09,1.35,0.7,0.7,Munoz2018ApJ...860...66M,13.7,1.3,0.9,Bellazzini2026arXiv260612517B,,,,,,,,,,,,,,,,,,-0.95,0.22,0.22,2.61,23.44,0.0,0.0,195.1110818,25.5454155,11.29,12.02,-16.66,30.78,774.88,387.08,30.78,,,-2.86,0.18,0.18,spectroscopic,44.15,40.62,4.03,0.69,0.41,,1.76,0.4,0.41,1.67,0.38,0.39,23.74,cmd,gc_ambiguous,0
smash_1,95.2496,-80.3966,SMASH 1,mw,0,,0.57,0.18,0.32,-24.0,16.0,16.0,0.62,0.21,0.17,,Martin2016ApJ...830L..10M,18.8,,,Martin2016ApJ...830L..10M,17.8,0.9,0.9,Martin2016ApJ...830L..10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.9,0.9,2.63,57.54,0.0,0.0,292.1392843,-27.9859973,-45.97,-24.45,-24.5,55.37,814.19,427.14,55.37,,,,,,,,,,,,,9.5,4.0,4.15,5.56,2.7,3.16,26.29,,gc_ambiguous,0
to_1,56.08255,-69.42255,To 1,mw,0,,0.27,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.2,,,Torrealba2019MNRAS.484.2181T,16.6,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,2.87,43.65,0.0,0.0,284.3605879,-40.9068614,-27.67,-26.43,-21.01,42.88,796.08,408.86,42.88,,,,,,,,,,,,,3.43,,,3.43,,,24.65,,gc_ambiguous,0
andromeda_01-gc1,11.42881,38.03162,And I-GC1,andromeda_01,1,,0.019,0.002,0.002,,,,,,,,Caldwell2017PASA...34...39C,24.45,,,,20.1,0.1,0.1,Caldwell2017PASA...34...39C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,0.4,0.4,Caldwell2017PASA...34...39C,,,,,,,,,,,,,,-4.35,0.1,0.1,3.97,776.25,,,121.6903148,-24.8263311,678.29,-344.9,153.37,780.15,44.49,389.42,0.16,,,-1.5,0.4,0.4,isochrone,,,,,,,4.28,0.44,0.45,4.28,0.44,0.45,22.38,host,gc_dwarf_hosted,1
andromeda_25-gc1,7.54407917,46.85155,And XXV-GC1,andromeda_25,0,,0.1,,,,,,,,,,Cusano2016ApJ...829...26C,24.38,,,,20.0,,,Cusano2016ApJ...829...26C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,Cusano2016ApJ...829...26C,-1.6,,,Cusano2016ApJ...829...26C,,,,,,,,,,,,,,-4.38,,,3.99,751.62,,,119.1555193,-15.8642381,686.77,-229.09,202.0,755.46,83.95,367.93,0.13,,,-1.6,,,isochrone,,,,,,,21.86,,,21.86,,,25.89,host,gc_dwarf_hosted,0
aquarius_1-gc1,311.7158333,-12.84805556,Aquarius-GC1,aquarius_1,0,,,,,,,,,,,,,24.97,,,,20.15,,,Greggio1993AJ....105..894G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.82,,,4.16,986.28,,,34.0490904,-31.343219,-194.08,-600.14,758.23,980.55,1105.17,972.85,0.0,,,,,,,,,,,,,,,,,,,,host,gc_dwarf_hosted,0
cena-mm-dw01-gc1,202.54278,-41.904666,CenA-MM-Dw1-GC1,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,266.0,5.9,5.9,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.39,0.32,0.32,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6068788,20.3891334,-3638.05,1400.88,-278.92,3903.46,4676.88,4292.27,1.15,,,-1.39,0.32,0.32,spectroscopic,101.8,24.24,,,,,,,,,,,,host,gc_dwarf_hosted,1
cena-mm-dw01-gc2,202.5767,-41.890874,CenA-MM-Dw1-GC2,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,259.6,5.9,5.9,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.13,0.35,0.35,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6358222,20.3987084,-3638.04,1401.29,-277.0,3903.46,4676.83,4292.25,0.89,,,-1.13,0.35,0.35,spectroscopic,95.5,17.94,,,,,,,,,,,,host,gc_dwarf_hosted,1
cena-mm-dw01-gc3,202.55034,-41.88403,CenA-MM-Dw1-GC3,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,261.6,6.2,6.2,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.07,0.34,0.34,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6163234,20.4086051,-3637.66,1402.05,-278.13,3903.46,4676.87,4292.26,0.78,,,-1.07,0.34,0.34,spectroscopic,97.45,19.89,,,,,,,,,,,,host,gc_dwarf_hosted,1
cena-mm-dw01-nsc,202.558373,-41.892037,CenA-MM-Dw1-NSC,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,273.2,5.9,5.9,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.71,0.32,0.32,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6212557,20.3997449,-3637.9,1401.46,-277.91,3903.46,4676.86,4292.26,0.1,,,-1.71,0.32,0.32,spectroscopic,109.06,31.49,,,,,,,,,,,,host,gc_dwarf_hosted,1
cena-mm-dw03-nsc,202.586867,-42.191885,CenA-MM-Dw3-NSC,cena-mm-dw03,1,,0.0042,,,,,,,,,,Dumont2022ApJ...929..147D,27.94,,,,18.42,,,Dumont2022ApJ...929..147D,359.6,2.4,2.4,8.6,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.12,0.35,0.35,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.52,,,6.04,3872.58,,,310.5923687,20.1003753,-3611.29,1370.03,-280.08,3867.62,4640.99,4256.4,0.09,,,-1.12,0.35,0.35,spectroscopic,195.02,117.46,5.52,,,,4.78,,,4.78,,,17.45,host,gc_dwarf_hosted,1
ddo_078-gc1,156.61291666666665,67.65277777777779,DDO 78-GC1,ddo_078,1,,0.0065,,,,,,0.1,,,,Sharina2005A&A...442...85S,27.71,,,,19.04,0.07,0.07,Sharina2005A&A...442...85S,55.0,10.0,10.0,,,,,Sharina2001A&A...380..435S,,,,,,,,-1.6,0.1,0.1,,,,,Sharina2003A&A...397..831S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.67,0.07,0.07,5.7,3483.37,,,141.1427282,43.9987519,2500.35,2423.14,102.49,3487.93,3273.8,3357.86,0.25,,,-1.6,0.1,0.1,spectroscopic,164.02,191.0,,,,,6.59,,,6.25,,,18.88,host,gc_dwarf_hosted,1
