theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,4.0,0.25,200.0,8665.17768183821,5134.397220233611,-4062.9934609739094,9898.670798577325,-1861.0898673525153,4062.9934609739094
newton,4.0,0.25,205.0,5988.05774703479,5539.687906438019,-3347.0163474954534,7768.196638967578,-2489.9997311027637,3347.0163474954534
newton,4.0,0.25,210.0,5196.5692393078325,4776.480014256201,-2933.0933824875287,6888.60098089346,-1538.2684133606108,2933.0933824875287
newton,4.0,0.25,215.0,4794.950294434822,4586.939989774092,-2915.9000661681202,6558.754029041116,-1007.1307672920502,2915.9000661681202
newton,4.0,0.25,220.0,4250.466793850817,4936.991036338826,-2883.595855455467,6429.4831353832615,-1049.807158644187,2883.595855455467
newton,4.0,0.25,225.0,3487.1509840158647,5206.411646782992,-2624.8537391561817,6147.277088907833,-1215.7008732699146,2624.8537391561817
newton,4.0,0.25,230.0,3732.5349648180404,4397.072874662245,-2533.3668274507954,5767.580469731023,32.903705824484405,2533.3668274507954
newton,4.0,0.25,235.0,3703.6764420930135,4401.945620461436,-3002.3827687077646,5730.204288902993,509.0218469301044,3002.3827687077646
newton,4.0,0.25,240.0,3122.991346743691,5713.729781129055,-3308.842341040592,6509.730814189308,-152.2750484855178,3308.842341040592
newton,4.0,0.25,245.0,2750.0782871090983,5778.8617785251545,-3309.845787439255,6399.6607354347,50.164846887322255,3309.845787439255
newton,4.0,0.25,250.0,2608.4135775376385,6025.631929386268,-3548.3380774807115,6554.371845258275,390.2194946534746,3548.3380774807115
newton,4.0,0.25,255.0,1573.0113358672318,6214.658459267934,-3271.52615070737,6410.024399257325,-89.05969370640173,3271.52615070737
newton,4.0,0.25,260.0,1969.1771939064342,5996.914026217572,-3102.5325371016484,6247.751458391853,897.907775335945,3102.5325371016484
newton,4.0,0.25,265.0,1311.5089227335063,5712.949292046353,-3835.27958074706,5805.515329484588,808.6018964991274,3835.27958074706
newton,4.0,0.25,270.0,122.77875462124939,5098.006758375384,-3528.5133214741363,5098.006758375384,122.77875462124845,3528.5133214741363
newton,4.0,0.25,275.0,-43.092469185517274,5313.821108891892,-3508.115045359196,5297.356171444798,420.2015362433617,3508.115045359196
newton,4.0,0.25,280.0,-703.6220907087835,5005.6347875394695,-3511.4370750349417,5051.770641334262,176.28686880174985,3511.4370750349417
newton,4.0,0.25,285.0,-1192.8740757162182,4706.836748728612,-3303.9716592525706,4855.19370492786,65.99111551439387,3303.9716592525706
