kind,branch,coarse_nr,fine_nr,aperture,profile_L1,centroid_km_s,passed
streaming,boxcar_hanning_full,32,64,14,0.017905924262129506,0.07337070152036063,False
streaming,boxcar_hanning_decimated,32,64,0,0.15056894845043514,0.6598116032012449,False
streaming,boxcar_hanning_decimated,32,64,1,0.11199297398017145,0.1740247646393165,False
streaming,boxcar_hanning_decimated,32,64,2,0.008032693675512233,0.061617010859706056,True
streaming,boxcar_hanning_decimated,32,64,3,0.02168166019250798,0.07730094888026073,False
streaming,boxcar_hanning_decimated,32,64,4,0.12083424588876834,0.048729057199203396,False
streaming,boxcar_hanning_decimated,32,64,5,0.00023029841480387195,8.688275964630066e-05,True
streaming,boxcar_hanning_decimated,32,64,6,0.0007581771630197901,0.00587301656366801,True
streaming,boxcar_hanning_decimated,32,64,7,0.0011570185055836762,0.006127512866850537,True
streaming,boxcar_hanning_decimated,32,64,8,0.0032958850974315695,0.01514023423064259,True
streaming,boxcar_hanning_decimated,32,64,9,0.006148201776919791,0.022424833951563805,True
streaming,boxcar_hanning_decimated,32,64,10,0.0016070979335127793,0.012763862999790376,True
streaming,boxcar_hanning_decimated,32,64,11,0.0012856696342553855,0.0009518071994705224,True
streaming,boxcar_hanning_decimated,32,64,12,0.10437396756772828,0.14838872165280037,False
streaming,boxcar_hanning_decimated,32,64,13,0.029193389531209073,0.15070924119974904,False
streaming,boxcar_hanning_decimated,32,64,14,0.017912453020072848,0.07337070151896796,False
streaming,boxcar_independent,64,128,0,0.008306850988707143,0.015598720227384177,True
streaming,boxcar_independent,64,128,1,0.012699873938769013,0.06808179789996416,False
streaming,boxcar_independent,64,128,2,8.143938665951322e-05,0.0005166633085735839,True
streaming,boxcar_independent,64,128,3,0.0009311540656438723,0.0023688354989559457,True
streaming,boxcar_independent,64,128,4,0.0025772590337857434,8.281333953874537e-05,True
streaming,boxcar_independent,64,128,5,6.767692920594806e-05,1.922992254321798e-08,True
streaming,boxcar_independent,64,128,6,6.767215332534261e-05,2.956053188896135e-07,True
streaming,boxcar_independent,64,128,7,6.763407401506117e-05,2.6264901720196576e-07,True
streaming,boxcar_independent,64,128,8,6.771534012445606e-05,2.496376083627183e-07,True
streaming,boxcar_independent,64,128,9,6.49205648911613e-05,8.889446079685115e-06,True
streaming,boxcar_independent,64,128,10,6.771709288176633e-05,6.740121065718085e-07,True
streaming,boxcar_independent,64,128,11,6.671445681074103e-05,9.583975213445228e-08,True
streaming,boxcar_independent,64,128,12,0.004957933859469332,0.000270974524234191,True
streaming,boxcar_independent,64,128,13,0.0005643483316088513,0.0033623988360567125,True
streaming,boxcar_independent,64,128,14,0.0006212903250375119,0.0008602777389583594,True
streaming,boxcar_hanning_full,64,128,0,0.008306850981901173,0.01559872022738773,True
streaming,boxcar_hanning_full,64,128,1,0.011436394614087686,0.06808179789996771,False
streaming,boxcar_hanning_full,64,128,2,6.771463824666722e-05,0.0005166633085806893,True
streaming,boxcar_hanning_full,64,128,3,0.0009311523400339944,0.0023688354989594984,True
streaming,boxcar_hanning_full,64,128,4,0.002572143254883725,8.281333954407444e-05,True
streaming,boxcar_hanning_full,64,128,5,6.767692920610068e-05,1.922992964864534e-08,True
