id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
J041629.3-241337	64.122091	-24.227150	0.466200		3		10.623	3.4036
J041543.5-241405	63.931435	-24.234738	0.215200		2		11.608	3.7194
J041627.7-241350	64.115523	-24.230789	0.466900		3		10.672	3.4195
J041536.3-241356	63.901220	-24.232448	0.386200		3		12.413	3.9771
J041556.6-241400	63.986006	-24.233595	0.400100		3		10.364	3.3206
J041604.7-241356	64.019622	-24.232302	0.570500		3		9.937	3.1840
J041610.7-241405	64.044542	-24.234755	0.571400		2		10.039	3.2166
J041616.5-241359	64.068753	-24.233275	0.483600		3		10.085	3.2311
J041602.5-241353	64.010549	-24.231466	0.298100		2		9.951	3.1883
J041513.9-241358	63.807714	-24.233055	0.181800		3		16.054	5.1439
J041512.8-241351	63.803418	-24.231058	0.536100		3		16.167	5.1800
J041521.8-241402	63.840704	-24.234019	0.890100		9		14.717	4.7154
J041548.1-241359	63.950571	-24.233162	0.571700		3		11.033	3.5350
J041700.6-241355	64.252326	-24.232098	0.566500		3		15.330	4.9119
J041546.8-241400	63.945208	-24.233539	0.191900		3		11.184	3.5833
J041534.6-241359	63.894338	-24.233089	0.381400		3		12.674	4.0608
J041617.3-241403	64.072050	-24.234261	2.565300		2		10.174	3.2599
J041618.7-241400	64.078078	-24.233508	0.388500		3		10.196	3.2667
J041517.6-241400	63.823486	-24.233443	0.316600		3		15.400	4.9343
J041602.9-241253	64.012039	-24.214862	0.238400		3		8.954	2.8689
J041555.7-241356	63.982103	-24.232278	0.275600		3		10.349	3.3159
J041624.2-241356	64.100639	-24.232294	0.418600		2		10.461	3.3518
J041542.7-241343	63.927952	-24.228846	0.430300		3		11.404	3.6539
J041646.1-241402	64.192210	-24.233926	0.333500		3		13.070	4.1878
J041545.7-241402	63.940550	-24.233963	0.302100		3		11.324	3.6284
J041617.7-241350	64.073852	-24.230579	0.304500		3		9.976	3.1964
J041552.1-241350	63.966935	-24.230744	0.304300		3		10.539	3.3768
J041608.0-241351	64.033363	-24.230917	0.485000		2		9.806	3.1419
J041557.9-241358	63.991246	-24.232949	0.418800		3		10.251	3.2845
J041541.6-241349	63.923217	-24.230472	0.432000		3		11.625	3.7247
J041614.7-241357	64.061123	-24.232626	0.244500		2		9.985	3.1992
J041656.3-241335	64.234403	-24.226400	0.630400		3		14.364	4.6024
J041648.7-241352	64.202748	-24.231326	0.555200		3		13.335	4.2725
J041620.0-241348	64.083226	-24.230003	0.389000		3		10.056	3.2219
J041535.6-241354	63.898468	-24.231827	0.582500		3		12.475	3.9970
J041659.2-241348	64.246714	-24.230114	0.305500		3		15.019	4.8122
J041658.6-241354	64.244191	-24.231782	0.136100		3		14.980	4.7996
J041613.7-241313	64.057129	-24.220552	0.267300		3		9.240	2.9604
J041609.9-241353	64.041128	-24.231481	0.641500		3		9.838	3.1521
J041534.2-241335	63.892656	-24.226508	0.431500		3		12.426	3.9813
J041651.4-241351	64.214177	-24.231087	0.385400		9		13.755	4.4072
J041558.2-241357	63.992528	-24.232614	0.354500		3		10.214	3.2726
J041618.0-241349	64.075068	-24.230501	0.387300		3		9.985	3.1991
J041543.1-241355	63.929730	-24.232085	0.634200		3		11.519	3.6907
