id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	3.482542	-30.596861	0.567404	0.000270	5		13.597	3.7003
	3.482708	-30.397472	0.428257	0.000090	5		5.385	1.4655
	3.482875	-30.465333	0.318300	0.000190	4		7.057	1.9204
	3.482917	-30.493944	0.306895	0.000921	3		8.277	2.2527
	3.483292	-30.226194	0.450551	0.000300	3		11.109	3.0232
	3.483833	-30.182222	0.438770	0.000360	4		13.472	3.6664
	3.484167	-30.276611	0.436595	0.000921	3		8.550	2.3269
	3.484583	-30.271334	0.239395	0.000921	3		8.788	2.3917
	3.484667	-30.431167	0.305692	0.000370	3		5.844	1.5904
	3.484750	-30.329694	0.449367	0.000360	4		6.333	1.7236
	3.484792	-30.526889	0.479604	0.000100	4		9.817	2.6716
	3.485000	-30.457918	0.144595	0.000921	3		6.688	1.8202
	3.485417	-30.326084	0.603495	0.000921	3		6.429	1.7495
	3.485458	-30.312583	0.307778	0.000080	5		6.931	1.8863
	3.485542	-30.483861	0.303317	0.000080	5		7.733	2.1046
	3.486250	-30.472418	0.617895	0.000921	3		7.215	1.9634
	3.486542	-30.605889	0.000132	0.000170	6		14.019	3.8152
	3.486542	-30.592222	0.000497	0.000650	6		13.260	3.6086
	3.486625	-30.301833	0.145387	0.000070	5		7.329	1.9947
	3.486875	-30.612861	0.360233	0.000260	3		14.402	3.9196
	3.487833	-30.413333	0.299406	0.000580	3		5.305	1.4437
	3.487917	-30.423028	0.001307	0.001210	6		5.492	1.4945
	3.487917	-30.556778	0.261869	0.000380	4		11.299	3.0750
	3.488042	-30.315722	0.000462	0.000170	6		6.707	1.8252
	3.488208	-30.391083	0.307878	0.000080	4		5.076	1.3815
	3.488542	-30.178722	-0.000013	0.000380	6		13.573	3.6938
	3.488750	-30.493000	0.360342	0.000240	3		8.042	2.1885
	3.488792	-30.379306	0.312928	0.000340	4		5.075	1.3812
	3.489792	-30.228194	0.448056	0.000340	4		10.845	2.9513
	3.490000	-30.179917	0.000120	0.000380	6		13.478	3.6680
	3.490083	-30.568750	0.121900	0.000070	5		11.897	3.2378
	3.490167	-30.409583	0.314379	0.000080	5		5.129	1.3959
	3.491250	-30.554361	0.105237	0.000070	5		11.092	3.0187
	3.491667	-30.259611	0.310648	0.000080	4		9.160	2.4928
	3.491875	-30.311972	0.413882	0.000240	4		6.710	1.8260
	3.492542	-30.249917	0.568982	0.000430	3		9.634	2.6217
