group,branch,kind,amplitude,center,continuum,threshold,mean_retention,sd,minimum,maximum,mean_paired_flux
empirical,boxcar_hanning_full,rotation,5,30,actual,per_channel,0.7660534947487636,0.08476520682366863,0.6182993988928613,0.8722958860651719,0.9362302729972409
empirical,boxcar_hanning_full,rotation,5,30,actual,fixed_global,0.7717364024532954,0.08204865817695961,0.6096562765458089,0.8720283877837538,0.9492550108403179
empirical,boxcar_hanning_full,rotation,5,30,source_disabled,per_channel,0.7660534947487636,0.08476520682366863,0.6182993988928613,0.8722958860651719,0.9362302729972446
empirical,boxcar_hanning_full,rotation,5,30,source_disabled,fixed_global,0.7717364024532954,0.08204865817695961,0.6096562765458089,0.8720283877837538,0.949255010840322
empirical,boxcar_hanning_full,rotation,10,10,actual,per_channel,0.916942758778919,0.03285721719988828,0.8538669936882934,0.9520649839003974,1.0216116966451185
empirical,boxcar_hanning_full,rotation,10,10,actual,fixed_global,0.9165598643333438,0.03164881627592972,0.8555842639890803,0.9512763452445144,1.0207643822900445
empirical,boxcar_hanning_full,rotation,10,10,source_disabled,per_channel,0.916942758778919,0.03285721719988828,0.8538669936882934,0.9520649839003974,1.0216116966697066
empirical,boxcar_hanning_full,rotation,10,10,source_disabled,fixed_global,0.9165598643333438,0.03164881627592972,0.8555842639890803,0.9512763452445144,1.020764382315134
empirical,boxcar_hanning_full,rotation,10,20,actual,per_channel,0.8898096463794496,0.04942330413291664,0.7902923364948179,0.958592719462434,0.9578578486079147
empirical,boxcar_hanning_full,rotation,10,20,actual,fixed_global,0.9120377804162961,0.03348499963863223,0.8483800195796827,0.9583325114407897,0.9978341462259926
empirical,boxcar_hanning_full,rotation,10,20,source_disabled,per_channel,0.8898096463794496,0.04942330413291664,0.7902923364948179,0.958592719462434,0.9578578486079147
empirical,boxcar_hanning_full,rotation,10,20,source_disabled,fixed_global,0.9120377804162961,0.03348499963863223,0.8483800195796827,0.9583325114407897,0.9978341462259926
empirical,boxcar_hanning_full,rotation,10,30,actual,per_channel,0.9407808843307235,0.02654609804666244,0.8694976905459058,0.962788681061903,1.0855232742242171
empirical,boxcar_hanning_full,rotation,10,30,actual,fixed_global,0.9403655231785013,0.02628897171209623,0.8682645547099203,0.9617827466029593,1.0832223182710536
empirical,boxcar_hanning_full,rotation,10,30,source_disabled,per_channel,0.9407808843307235,0.02654609804666244,0.8694976905459058,0.962788681061903,1.0855232742242344
empirical,boxcar_hanning_full,rotation,10,30,source_disabled,fixed_global,0.9403655231785013,0.02628897171209623,0.8682645547099203,0.9617827466029593,1.0832223182710714
empirical,boxcar_hanning_full,warp,5,10,actual,per_channel,0.7243523958799005,0.11285243784020545,0.5473167237968272,0.9090512808885622,0.8885007155749185
empirical,boxcar_hanning_full,warp,5,10,actual,fixed_global,0.7213986160968289,0.11090271394593482,0.5483613929962244,0.898319540689977,0.8882942626138403
empirical,boxcar_hanning_full,warp,5,10,source_disabled,per_channel,0.7243523958799005,0.11285243784020545,0.5473167237968272,0.9090512808885622,0.888500715584577
empirical,boxcar_hanning_full,warp,5,10,source_disabled,fixed_global,0.7213986160968289,0.11090271394593482,0.5483613929962244,0.898319540689977,0.8882942626240576
empirical,boxcar_hanning_full,warp,5,20,actual,per_channel,0.41597591041440185,0.26295305563856963,0.00241249629420341,0.8476482609874084,0.5106635815891335
empirical,boxcar_hanning_full,warp,5,20,actual,fixed_global,0.5871481345802609,0.22424824005726046,0.19047098275519772,0.8766382555492996,0.7294117376570143
empirical,boxcar_hanning_full,warp,5,20,source_disabled,per_channel,0.41597591041440185,0.26295305563856963,0.00241249629420341,0.8476482609874084,0.5106635815891335
empirical,boxcar_hanning_full,warp,5,20,source_disabled,fixed_global,0.5871481345802609,0.22424824005726046,0.19047098275519772,0.8766382555492996,0.7294117376570143
empirical,boxcar_hanning_full,warp,5,30,actual,per_channel,0.755406821242393,0.08576283180225451,0.5995718737272563,0.8599386598055263,0.9197892378838296
empirical,boxcar_hanning_full,warp,5,30,actual,fixed_global,0.7600051857474847,0.0824973229346807,0.5944369827694788,0.8604051647712155,0.9293732422289769
empirical,boxcar_hanning_full,warp,5,30,source_disabled,per_channel,0.755406821242393,0.08576283180225451,0.5995718737272563,0.8599386598055263,0.9197892378838337
empirical,boxcar_hanning_full,warp,5,30,source_disabled,fixed_global,0.7600051857474847,0.0824973229346807,0.5944369827694788,0.8604051647712155,0.9293732422289818
