galaxy,target,median_log10_gbar,spread_log10_gbar,quality,inclination_deg,hubble_type,gas_mass_fraction_proxy,log10_effective_stellar_surface_brightness,log10_disk_scale_length
UGC05414,-0.0677889776337143,-10.971612200127414,0.1708163380211225,1.0,55.0,10.0,0.5762008272197566,1.5167997040816243,0.1673173347481761
UGC05716,0.005258715004464248,-11.428307989784303,0.5287897972452811,2.0,54.0,9.0,0.83190586728568,1.4407517004791854,0.05690485133647256
UGC05721,0.09811344581369161,-10.791223070669222,1.2333786145910537,1.0,61.0,7.0,0.7378968567366925,2.3688259309588453,-0.42021640338318983
UGC05750,-0.08387928949171829,-11.431506177882635,0.6817417767577734,1.0,64.0,8.0,0.46703646071311034,0.8369567370595504,0.5390760987927766
UGC05764,0.08828566122312079,-11.310711989505275,0.486422934897476,2.0,60.0,10.0,0.8360908635118979,0.9689496809813426,0.06818586174616162
UGC05829,-0.056490708894352794,-11.347191161511333,0.7681543025544126,2.0,34.0,10.0,0.8283199094113565,1.024895960107485,0.29885307640970665
UGC05918,-0.023897792172266986,-11.552671603463244,0.19449262752769236,2.0,46.0,10.0,0.7722429669019178,0.7291647896927701,0.22010808804005508
UGC06399,0.014450965506487359,-11.059304030853413,0.23191828605527043,1.0,75.0,9.0,0.43847154694240914,1.4888326343824005,0.31175386105575426
UGC06446,0.039185742133464214,-11.210024542228773,0.4805910481026707,1.0,51.0,7.0,0.7878070676569003,1.568788212315347,0.17318626841227402
UGC06614,-0.07691192027619763,-10.360858597480272,1.9952398192509317,1.0,36.0,1.0,0.31889914383404083,3.164831505697767,0.7075701760979364
UGC06786,0.05526753022713664,-9.87682220825542,2.6148704451495135,1.0,64.0,0.0,0.15416860628574855,2.996831146325563,0.5563025007672873
UGC06787,0.024876791888078092,-9.792570774231901,3.013525885770102,2.0,66.0,2.0,0.11985223378163637,3.2768293053433886,0.7299742856995556
UGC06818,-0.08133165694978148,-11.091163692163558,0.47377667937525914,2.0,75.0,9.0,0.6437976375797978,1.7488080049586023,0.14301480025409505
UGC06917,0.006577975389036815,-10.876675384076533,0.4775425910518134,1.0,56.0,9.0,0.4406043307312264,1.7248490876293856,0.4409090820652177
