branch,family,galaxy,mean_mse_mond,mean_mse_candidate,difference,leave_this_galaxy_out_gain_percent
return,truncated_point_kernel,ESO116-G012,0.0052599913026141415,0.006321624357250277,-0.0010616330546361352,-5.869433669031044
return,truncated_point_kernel,F565-V2,0.008764845953689043,0.019301519921626948,-0.010536673967937905,-4.999965540404354
return,truncated_point_kernel,F568-3,0.007797433065271526,0.012057772349497333,-0.004260339284225807,-5.583622572921619
return,truncated_point_kernel,F568-V1,0.029200336980782976,0.034916847115181414,-0.005716510134398438,-5.558651313327344
return,truncated_point_kernel,F571-V1,0.0012646907986729684,0.003477901192523749,-0.0022132103938507803,-5.740326959929251
return,truncated_point_kernel,F583-1,0.016260458993871643,0.013193588856111606,0.003066870137760037,-6.3204243082421785
return,truncated_point_kernel,F583-4,0.0002912729923615967,0.0012073822072139237,-0.0009161092148523269,-5.855836373750478
return,truncated_point_kernel,KK98-251,0.02673954330949324,0.019120928554787867,0.007618614754705374,-6.817894361930717
return,truncated_point_kernel,NGC0024,0.01985119410630907,0.022806337847398772,-0.002955143741089704,-5.77113180606501
return,truncated_point_kernel,NGC0055,0.004754207844882503,0.0032565707756989147,0.0014976370691835886,-6.105820777761112
return,truncated_point_kernel,NGC0247,0.0015191950619163784,0.00554965685346868,-0.004030461791552302,-5.572379542544471
return,truncated_point_kernel,NGC0289,0.001053786639949545,0.002343089696220663,-0.001289303056271118,-5.8252402192016275
return,truncated_point_kernel,NGC0300,0.0035504696559931887,0.004447700537262775,-0.0008972308812695861,-5.875413561031664
return,truncated_point_kernel,NGC0801,0.0026230694895661246,0.0030745713426732894,-0.00045150185310716476,-5.911901929976379
return,truncated_point_kernel,NGC1003,0.0015195106978170272,0.005544442017945547,-0.00402493132012852,-5.5728964408455335
return,truncated_point_kernel,NGC1090,0.005813305631956992,0.0073472674861275395,-0.0015339618541705471,-5.8282891719102405
return,truncated_point_kernel,NGC2403,0.00234366323719453,0.0005763377183470316,0.001767325518847498,-6.1172430125177915
return,truncated_point_kernel,NGC2683,0.0005211085911523317,0.005794068893328904,-0.005272960302176572,-5.451549876478287
return,truncated_point_kernel,NGC2841,0.009736932204996475,0.00384135124713483,0.005895580957861645,-6.547290537628857
return,truncated_point_kernel,NGC2915,0.03650914274342922,0.017215424772385118,0.019293717971044105,-8.006435552651904
return,truncated_point_kernel,NGC2955,0.0011037353923369273,0.0016560926429033671,-0.0005523572505664398,-5.89414393453013
return,truncated_point_kernel,NGC2976,0.008763594256643706,0.009109686561965345,-0.00034609230532163873,-5.955841010349361
return,truncated_point_kernel,NGC2998,0.014938291474939894,0.01435521935370296,0.0005830721212369341,-6.078201373313691
return,truncated_point_kernel,NGC3109,0.006587760634394625,0.014625050520041191,-0.008037289885646566,-5.223741714727561
return,truncated_point_kernel,NGC3198,0.004899890528002706,0.006222660112778049,-0.0013227695847753424,-5.843051996634348
return,truncated_point_kernel,NGC3521,0.0004200449916843462,0.001090991602787247,-0.0006709466111029007,-5.879355988793588
return,truncated_point_kernel,NGC3741,0.004386065850545083,0.016238727270777832,-0.011852661420232748,-4.856577631333663
return,truncated_point_kernel,NGC3769,0.0016065349777205278,0.0027585972472443723,-0.0011520622695238446,-5.841027755697128
return,truncated_point_kernel,NGC3877,0.01231005904232048,0.014003022958330188,-0.0016929639160097078,-5.848960978577601
return,truncated_point_kernel,NGC3893,0.0010663220391256753,0.0008262951742721751,0.00024002686485350018,-5.967731777836275
